"filename", "language", "Jupyter", "Python", "Markdown", "CSV", "YAML", "Excel", "Log", "XML", "C++", "C", "comment", "blank", "total"
"c:\Users\vllbc\Desktop\My_Learn\Socket\kehu.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\vllbc\Desktop\My_Learn\decorator\1.py", "Python", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 56
"c:\Users\vllbc\Desktop\My_Learn\decorator\2.py", "Python", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\vllbc\Desktop\My_Learn\flask_learn\run.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\vllbc\Desktop\My_Learn\geckodriver.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\vllbc\Desktop\My_Learn\ghostdriver.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\vllbc\Desktop\My_Learn\logtest.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\vllbc\Desktop\My_Learn\one_test\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\vllbc\Desktop\My_Learn\one_test\.idea\one_test.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"c:\Users\vllbc\Desktop\My_Learn\one_test\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\vllbc\Desktop\My_Learn\one_test\.idea\workspace.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 71
"c:\Users\vllbc\Desktop\My_Learn\one_test\config.yml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\vllbc\Desktop\My_Learn\one_test\main.py", "Python", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 147
"c:\Users\vllbc\Desktop\My_Learn\pandas_learn\.ipynb_checkpoints\learn-checkpoint.ipynb", "Jupyter", 2753, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2754
"c:\Users\vllbc\Desktop\My_Learn\pandas_learn\.ipynb_checkpoints\one-checkpoint.ipynb", "Jupyter", 2775, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2776
"c:\Users\vllbc\Desktop\My_Learn\pandas_learn\animal.csv", "CSV", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\vllbc\Desktop\My_Learn\pandas_learn\animal.xlsx", "Excel", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 44
"c:\Users\vllbc\Desktop\My_Learn\pandas_learn\learn.ipynb", "Jupyter", 2753, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2754
"c:\Users\vllbc\Desktop\My_Learn\pandas_learn\one.ipynb", "Jupyter", 2775, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2776
"c:\Users\vllbc\Desktop\My_Learn\plotly_learn\.ipynb_checkpoints\new_example1-checkpoint.ipynb", "Jupyter", 4912, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4913
"c:\Users\vllbc\Desktop\My_Learn\plotly_learn\.ipynb_checkpoints\new_example5-checkpoint.ipynb", "Jupyter", 71326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 71327
"c:\Users\vllbc\Desktop\My_Learn\plotly_learn\.ipynb_checkpoints\plt-checkpoint.ipynb", "Jupyter", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\vllbc\Desktop\My_Learn\plotly_learn\Programming_Language_Index.ipynb", "Jupyter", 16141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16142
"c:\Users\vllbc\Desktop\My_Learn\plotly_learn\data\.ipynb_checkpoints\可视化-checkpoint.ipynb", "Jupyter", 1770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1771
"c:\Users\vllbc\Desktop\My_Learn\plotly_learn\data\3d-line1.csv", "CSV", 0, 0, 0, 602, 0, 0, 0, 0, 0, 0, 0, 1, 603
"c:\Users\vllbc\Desktop\My_Learn\plotly_learn\data\3d_line_sample_data.csv", "CSV", 0, 0, 0, 1002, 0, 0, 0, 0, 0, 0, 0, 1, 1003
"c:\Users\vllbc\Desktop\My_Learn\plotly_learn\data\earthquakes.csv", "CSV", 0, 0, 0, 23413, 0, 0, 0, 0, 0, 0, 0, 1, 23414
"c:\Users\vllbc\Desktop\My_Learn\plotly_learn\data\iris.csv", "CSV", 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 1, 152
"c:\Users\vllbc\Desktop\My_Learn\plotly_learn\data\mt_bruno_elevation.csv", "CSV", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\vllbc\Desktop\My_Learn\plotly_learn\data\nz_weather.csv", "CSV", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 1, 156
"c:\Users\vllbc\Desktop\My_Learn\plotly_learn\data\可视化.ipynb", "Jupyter", 1763, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1764
"c:\Users\vllbc\Desktop\My_Learn\plotly_learn\debug.log", "Log", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
